"asin","n"
"B00007GCYO",34
"B00007J5YO",34
"B00007MIBZ",34
"B00008O0X5",34
"B00008URUO",34
"B000099Z4L",34
"B00009KWY4",34
"B00009M7NU",34
"B0000A1Z5K",34
"B0000APEI4",34
"B00014BWQ6",34
"B0001DKIKI",34
"B0001VJWFW",34
"B0002DF4EM",34
"B0002DT0GU",34
"B0002TV04O",34
"B0002V5EVW",34
"B0002WPWL8",34
"B0003UJ0VW",34
"B00061I51E",34
"B00064Z190",34
"B0006GK9NQ",34
"B0006HCW08",34
"B0006IH89M",34
"B0006MY7FQ",34
"B0006NAR90",34
"B0006O4HQ8",34
"B0007LXVOO",34
"B0007UPXM8",34
"B0007WX1IY",34
"B0009EHDX4",34
"B0009S4UPO",34
"B0009XBZ6G",34
"B000A0F5MS",34
"B000ALGY6I",34
"B000AMC3RG",34
"B000ARW4NO",34
"B000AV6RM4",34
"B000B8THDC",34
"B000BB567K",34
"B000BNJIVI",34
"B000C26AC8",34
"B000C7NRA6",34
"B000CBHTGA",34
"B000E7S48E",34
"B000ELIXGI",34
"B000ELJ3Y4",34
"B000EQHJLI",34
"B000EW9XI4",34
"B000F6E52S",34
"B000FBF00Y",34
"B000FBLP2Q",34
"B000FEEN7W",34
"B000FEIWQA",34
"B000FZZ0M8",34
"B000GW4DE6",34
"B000GYWXZ0",34
"B000H0ZFY4",34
"B000H3AWDK",34
"B000HJUX4W",34
"B000IDN19Q",34
"B000IVINFA",34
"B000JFA1KA",34
"B000MKH8I0",34
"B000MOIWYK",34
"B000MTTZ7S",34
"B000N53C0C",34
"B000N56UBK",34
"B000NUY8BO",34
"B000NVVYZQ",34
"B000O22V4C",34
"B000O5Z0II",34
"B000O77NPO",34
"B000O81IOA",34
"B000OQO2RC",34
"B000PLXFQU",34
"B000PUCBMA",34
"B000QX6LP4",34
"B000RE6S1E",34
"B000RGR8KW",34
"B000RP5DAK",34
"B000RZN89S",34
"B000S0PY2G",34
"B000S606SM",34
"B000W3XEQW",34
"B000W6SBXU",34
"B000WOBBAC",34
"B000XG2L8A",34
"B000XVJO80",34
"B000YJ8LOE",34
"B00114TE7O",34
"B0011U9QYO",34
"B0012J2XNU",34
"B0012MV8II",34
"B00134V53S",34
"B0013BA028",34
"B0013EYI1O",34
"B0013FL21M",34
"B0013XPGWA",34
"B0014QQ8CI",34
"B0014SPITK",34
"B0014X98FK",34
"B0014XEKP8",34
"B0015KSQM8",34
"B001602E4S",34
"B0016288MI",34
"B00168H62K",34
"B0016H7N42",34
"B0016P5F0I",34
"B0017YT3S8",34
"B0018123VE",34
"B0018AMSWE",34
"B0018MLZLW",34
"B0019WXAPU",34
"B001A58FC4",34
"B001AQG7VE",34
"B001B65JMG",34
"B001BDC4Y0",34
"B001BKPAR6",34
"B001CEG9X0",34
"B001CQRDOW",34
"B001D1A2Y4",34
"B001DB6V4Y",34
"B001ENV4JS",34
"B001EWK5N0",34
"B001F8R6K8",34
"B001FRQ5BA",34
"B001GPDWXU",34
"B001GQA7A0",34
"B001L30CZS",34
"B001L7VY1U",34
"B001MK4LCA",34
"B001N8I8QG",34
"B001NFXXWI",34
"B001OHLDHM",34
"B001POAECY",34
"B001R6AUGA",34
"B001RDA9RI",34
"B001RLP87Q",34
"B001SUC7LQ",34
"B001UE85AW",34
"B001UE85V6",34
"B001UEQJXC",34
"B001VNUYKG",34
"B001W1YHZ0",34
"B0023ASUTI",34
"B002441FGS",34
"B0026OGL2O",34
"B0026RWS7S",34
"B0026UZQHY",34
"B00270VYV0",34
"B00278Z7QK",34
"B0027DTH3Y",34
"B0028WCS12",34
"B0029SWD1A",34
"B002AJ5IXS",34
"B002H6DTEO",34
"B002L762F2",34
"B002MCAVMG",34
"B002MJ2HE4",34
"B002OSWLL2",34
"B002OSWLRQ",34
"B002QN8CP4",34
"B002RDTL1W",34
"B002RL7VOI",34
"B002RL7WCE",34
"B002ROZ4NK",34
"B002SX62YU",34
"B002TVN60O",34
"B002TXEDOU",34
"B002W5U03S",34
"B002WB186K",34
"B002Y2DB9E",34
"B0030IG0C6",34
"B0031NWZLA",34
"B00336SF96",34
"B00339STR6",34
"B00355F2CI",34
"B0036DDI0C",34
"B0036FD7I8",34
"B0036RKHIO",34
"B00385SRE0",34
"B0039KSQZE",34
"B0039XX8KO",34
"B0039YOK8W",34
"B003AKLQO6",34
"B003B4WXI4",34
"B003BJP9C6",34
"B003F7WK30",34
"B003FD6IDW",34
"B003GIS8TI",34
"B003I3YVOW",34
"B003IHUXBS",34
"B003IKMR0K",34
"B003K9GNRW",34
"B003KYTW4I",34
"B003MC54ZE",34
"B003NVLNT0",34
"B003WFOOE8",34
"B003WR48VA",34
"B004085U62",34
"B0040F0NPS",34
"B0040F0QR8",34
"B0040I1MNC",34
"B00428LM76",34
"B0042GU8EQ",34
"B0042VJPYK",34
"B0043TNRVI",34
"B0043WG6UY",34
"B004444AFY",34
"B00454ZP1Q",34
"B004C5KUGS",34
"B004CT245O",34
"B004DL0KPM",34
"B004FP40QG",34
"B004GFLH2U",34
"B004H2QO2U",34
"B004HFPKSQ",34
"B004HVG8UY",34
"B004I8V702",34
"B004K1EZ6U",34
"B004KJ7TGA",34
"B004MC5836",34
"B004MWD5P4",34
"B004NM55BU",34
"B004NP7HG8",34
"B004O0TP3K",34
"B004OBCEFA",34
"B004OS6MJW",34
"B004P9739S",34
"B004PBJOIO",34
"B004QGQZB2",34
"B004TTQD2W",34
"B004U2RN4U",34
"B004UC4MMQ",34
"B004UILW6E",34
"B004W85FWY",34
"B004XDYJ9I",34
"B004XHWNMY",34
"B004XUJCR0",34
"B004XWB6YA",34
"B004Z6HD82",34
"B0050QJUVO",34
"B00522XOYU",34
"B0052UURVU",34
"B005421L5W",34
"B0055T3DMI",34
"B0058RWQLG",34
"B00590A6VY",34
"B005C670L4",34
"B005D7K5OG",34
"B005ESDJSS",34
"B005G7ZJN0",34
"B005GQ4KCM",34
"B005HG588Q",34
"B005KBU83S",34
"B005QIYRVY",34
"B005QUQ99U",34
"B005VPRDBI",34
"B005VPREA8",34
"B005YDP3NW",34
"B005Z1EIQG",34
"B0061MIFEO",34
"B0062DWI0Y",34
"B0065HNHC0",34
"B00699MQ58",34
"B006BA74MK",34
"B006CD1KSA",34
"B006D53Q2U",34
"B006G990W8",34
"B006H7V5OK",34
"B006P0ET1K",34
"B006QZCBPU",34
"B006ROUFNU",34
"B006RQ8TVI",34
"B006YZIEZ8",34
"B006ZMGR5E",34
"B006ZUUU86",34
"B007245P8E",34
"B0072V39AI",34
"B00739W6VM",34
"B007BD93YS",34
"B007ETCF4Y",34
"B007FGA2UK",34
"B007KZ73EE",34
"B007Q0OEN6",34
"B007Q0OJJA",34
"B007Q0OV2A",34
"B007QIJW2Q",34
"B007TLC4YS",34
"B007TNU1XM",34
"B007X8ZYTO",34
"B007YRRE38",34
"B0081RVIK0",34
"B0082RE9CS",34
"B0083HSF90",34
"B0083TXZHU",34
"B00840LA9S",34
"B00850O4VS",34
"B00855FMXM",34
"B0089U30V4",34
"B008BP7360",34
"B008IZH41W",34
"B008KGR2LQ",34
"B008RJS5YO",34
"B008XTVTGO",34
"B008Z14DJA",34
"B0090UY5CU",34
"B0092FZVPI",34
"B0093HAI8K",34
"B0094WKR4E",34
"B0096TKR04",34
"B009AM7DKY",34
"B009FDZKLC",34
"B009JTVKG6",34
"B009OM7LES",34
"B009WQFKMQ",34
"B00A15IT7K",34
"B00A2DI2WS",34
"B00A3A5T1M",34
"B00A852PQ4",34
"B00A852PZK",34
"B00A88EIFM",34
"B00ATA2TB4",34
"B00ATX7JP2",34
"B00ATX7JSO",34
"B00AYHJKJQ",34
"B00B0DWCQG",34
"B00B16DAKY",34
"B00B1Z6FCU",34
"B00B1Z6FKW",34
"B00B2FNH8O",34
"B00BECOCL6",34
"B00BIV2ERM",34
"B00BN4PAKW",34
"B00BRCMYPO",34
"B00BTH2G3W",34
"B00BUJBG4Y",34
"B00BYD5JOE",34
"B00C593WYU",34
"B00C6PWR6M",34
"B00C6Q27P2",34
"B00C74HYH4",34
"B00C9C75SW",34
"B00CANHVZ2",34
"B00CEQ192Q",34
"B00CFWWD6A",34
"B00CGQNKVC",34
"B00CPNLECI",34
"B00CXLQI64",34
"B00D07JI4E",34
"B00D1LQQ80",34
"B00D6N909A",34
"B00D8VISGQ",34
"B00DD78P4U",34
"B00DWFSDG8",34
"B00E5UKNCQ",34
"B00E6K8CUA",34
"B00E6L466I",34
"B00EAO03OA",34
"B00ECV4DBA",34
"B00EXJM3R2",34
"B00FF5I5MU",34
"B00FNIDH4U",34
"B00FOLKBC2",34
"B00FQE1L6M",34
"B00FY4Q31M",34
"B00GCH6D2E",34
"B00GSPFCX6",34
"B00GSPFDTE",34
"0786957484",33
"096625757X",33
"0979658527",33
"0984155872",33
"1933318988",33
"B00000ISKD",33
"B00000IVXP",33
"B00000J55E",33
"B00003JATS",33
"B00004NKJO",33
"B00004R8W8",33
"B00004TQM0",33
"B00005MP02",33
"B00005U55H",33
"B000063LH0",33
"B000063V7L",33
"B000067RNM",33
"B00006IFJ5",33
"B00007UHYV",33
"B0000859TP",33
"B00008PW07",33
"B0000945KW",33
"B00009MOO2",33
"B0000A1Z2A",33
"B0001I1GWM",33
"B0001IM96E",33
"B0001M2BRC",33
"B0001M80ZY",33
"B00020LYKI",33
"B00022F0JW",33
"B00025EIZQ",33
"B0002D1FEA",33
"B0002F6Y94",33
"B0002L9HPG",33
"B0002S7RNI",33
"B0002YDPT2",33
"B00066N6RC",33
"B00068YYJO",33
"B0006A0LDU",33
"B0006HXTYG",33
"B0006N6USM",33
"B0006N8YTU",33
"B0006NGVAY",33
"B0006SGZ8M",33
"B000747O6W",33
"B00075OIVA",33
"B0007KGVFG",33
"B0007ODH90",33
"B0007PHP2O",33
"B0007UDXSE",33
"B0007WFGO6",33
"B0008G223O",33
"B0009F3ERW",33
"B0009HLSZK",33
"B0009NQ3QS",33
"B0009NWZT2",33
"B0009V9I5I",33
"B000A12Y2G",33
"B000A2R542",33
"B000AQDPRE",33
"B000BI4DA4",33
"B000BI8EMC",33
"B000BTBDRE",33
"B000BTECN6",33
"B000BVM3GM",33
"B000BX1ZSM",33
"B000CBR4MY",33
"B000CIS3GS",33
"B000CQJXRS",33
"B000EQGSZG",33
"B000F4GHP8",33
"B000FBUZ86",33
"B000FBX088",33
"B000FJ9QJC",33
"B000FKIY6W",33
"B000FOTAS4",33
"B000G16WKU",33
"B000GBRD12",33
"B000GPTDB6",33
"B000GPYRG2",33
"B000GYUXQQ",33
"B000GYZ2S0",33
"B000GYZ334",33
"B000H2F3JE",33
"B000H612Y0",33
"B000H6AX2W",33
"B000H6H58W",33
"B000H8WGB6",33
"B000HN8KJ8",33
"B000JLPMV2",33
"B000JM2RDM",33
"B000K25JPE",33
"B000K65NU6",33
"B000KIA084",33
"B000LC65QA",33
"B000LECKBW",33
"B000LGAQFM",33
"B000M5NIRU",33
"B000M7V230",33
"B000M8G2FW",33
"B000MKA2EM",33
"B000MQYZ5S",33
"B000MT7ZP2",33
"B000MUXSMA",33
"B000NNPOF0",33
"B000OT2816",33
"B000OV7AAI",33
"B000PWU23I",33
"B000QBF6A2",33
"B000QWOAA8",33
"B000RAC7TU",33
"B000RN6CDO",33
"B000RNL2IO",33
"B000S0L0K6",33
"B000SAIRE8",33
"B000ST0184",33
"B000U0HGV6",33
"B000VB876C",33
"B000VJ3BA6",33
"B000VS2I9C",33
"B000WTWZC0",33
"B000XEYZFY",33
"B000XW0EME",33
"B000ZJKKEW",33
"B00112EJEY",33
"B00112FUEW",33
"B00138PO8Q",33
"B0013C6YU4",33
"B0013FS9KY",33
"B00141RSKE",33
"B00142V9X0",33
"B00144J9ZI",33
"B0014A7QO8",33
"B00153IVV6",33
"B0015S1AHI",33
"B00168708K",33
"B0016A7O3E",33
"B0016JEV86",33
"B0016KKS1Y",33
"B0017RWH1A",33
"B00196Z05Y",33
"B00199FV1Y",33
"B001ALR2JA",33
"B001BLQT6G",33
"B001DDA3VE",33
"B001E80F1Q",33
"B001GWQAGO",33
"B001HTO7Y8",33
"B001JPIC0A",33
"B001LOA1VW",33
"B001LYH8W2",33
"B001M51VHI",33
"B001N7Q1T8",33
"B001Q4YDM0",33
"B001QH17R6",33
"B001QKYLDU",33
"B001QUZJDQ",33
"B001RQ45JS",33
"B001T77HF4",33
"B001UFQNF0",33
"B001XIMGP0",33
"B001YJZKME",33
"B00247XCQG",33
"B0024FW7LO",33
"B00261L7Q2",33
"B0026B2X0Q",33
"B0026UYVG6",33
"B00292R4BA",33
"B002ACP0JC",33
"B002BRW84G",33
"B002C4KY9E",33
"B002HMOHLW",33
"B002HWRQ9W",33
"B002IMFN3C",33
"B002IVBVS4",33
"B002KB4080",33
"B002KBPP8O",33
"B002KIPZIC",33
"B002OQQAWA",33
"B002QBDW60",33
"B002RDVLRO",33
"B002RGCGZW",33
"B002U1O2N8",33
"B002UK2HCW",33
"B002USJ4KM",33
"B002V1H0WW",33
"B002VEC8GM",33
"B002WCLQXE",33
"B002XVQ4I6",33
"B002Y5RP98",33
"B002YGSRHG",33
"B0031M98PM",33
"B0032O6S4I",33
"B00339NPFW",33
"B00342TOX0",33
"B0034YX6JQ",33
"B00350OWII",33
"B00366O9CU",33
"B0036EH2Q2",33
"B0036EIJDC",33
"B0036WT50K",33
"B0037XPFWK",33
"B00383NQ7A",33
"B0038BAHGK",33
"B0038FPDGA",33
"B003A6CJB4",33
"B003AWYJRA",33
"B003DKNQZA",33
"B003DRD9MI",33
"B003E8ETUM",33
"B003ESTRDQ",33
"B003ET17LU",33
"B003F82NTK",33
"B003GXF6K2",33
"B003HC92N4",33
"B003I4QU8G",33
"B003IRH9LU",33
"B003L4VH7M",33
"B003M2XTME",33
"B003N4FZWS",33
"B003NNVAQ4",33
"B003QBGEXC",33
"B003Y76MTE",33
"B003YCPGHI",33
"B003Z0JLP2",33
"B003ZFUGME",33
"B004087O7K",33
"B0040GJZ88",33
"B0041LNSGC",33
"B00439HF2K",33
"B0043WI70Q",33
"B004478GOC",33
"B0044T2ATW",33
"B0044TNM0S",33
"B00468N270",33
"B0047AB788",33
"B00494GXUY",33
"B004D0D5F0",33
"B004EXFCJ8",33
"B004FERW30",33
"B004GXIFLS",33
"B004HERXPK",33
"B004HFIR04",33
"B004I0FVHA",33
"B004I6616O",33
"B004I6617I",33
"B004ID5MA8",33
"B004JOH4T8",33
"B004K9CHR6",33
"B004KUW0O0",33
"B004MX7COS",33
"B004N01NZ4",33
"B004OH3USY",33
"B004OT0VN4",33
"B004OWPOQU",33
"B004OYYB08",33
"B004P1IPU2",33
"B004PBJPNI",33
"B004Q0R7FG",33
"B004QJLHNA",33
"B004R7PWBO",33
"B004SN4NRQ",33
"B004SN4SQ2",33
"B004UFDMII",33
"B004UU9WIM",33
"B004Z1RVUM",33
"B004Z6OJVQ",33
"B004Z7H2FK",33
"B004ZD9OSM",33
"B004ZR4E2Y",33
"B0050COGNA",33
"B0051MMFF0",33
"B0055UFNWU",33
"B005CWS7P6",33
"B005D2SWF0",33
"B005D71SMY",33
"B005E7A21Q",33
"B005EKIY3G",33
"B005EMKJ0K",33
"B005G10DAU",33
"B005GMH7KS",33
"B005GXVW62",33
"B005I0K4IA",33
"B005JZ35TO",33
"B005KNC76M",33
"B005NCDI36",33
"B005NCE7X6",33
"B005NDPLLW",33
"B005NKO3D2",33
"B005OJ56SS",33
"B005S342G2",33
"B005SZYFGC",33
"B005TPN14S",33
"B005UIYVIE",33
"B005VEMYVI",33
"B005VPRDUO",33
"B005VQ77AE",33
"B005XLN8SM",33
"B0060FZS1K",33
"B0060GDS8E",33
"B00612AXSK",33
"B00616B93O",33
"B00627IS5Y",33
"B0062JXHVM",33
"B006C8MJK8",33
"B006CC023K",33
"B006CD2ZNY",33
"B006G7Z70Y",33
"B006O6EOE2",33
"B006O6FGTE",33
"B006OA8UIY",33
"B006WVMI9M",33
"B006X0KCTA",33
"B006X2AHUM",33
"B006ZMO044",33
"B006ZP2MK0",33
"B006ZS4FE8",33
"B00705ZDHS",33
"B0072V8CC8",33
"B0074JUAXM",33
"B007CJJR6K",33
"B007KZ70L0",33
"B007N6LR4W",33
"B007ONZ4DE",33
"B007R57AHM",33
"B007RDGHQE",33
"B007RDGKK2",33
"B007SJ6C1M",33
"B007TUAIL0",33
"B0083BXI0C",33
"B0084LO7C4",33
"B00852JLM8",33
"B0085WX1QA",33
"B008AJQ4VC",33
"B008BUZHHC",33
"B008DE0FU0",33
"B008FZXVGM",33
"B008N6US5A",33
"B008X0ACP2",33
"B008YJ8GG4",33
"B008ZVZEX4",33
"B0094RGB9Y",33
"B0096E5HT0",33
"B0096WGAD4",33
"B0098OVN9G",33
"B009F0N68E",33
"B009FRT0T6",33
"B009H56VWK",33
"B009P8DQAY",33
"B009PZILLG",33
"B009R4UNBQ",33
"B009SE441U",33
"B009UL3OPI",33
"B009YF057A",33
"B00A78GZOA",33
"B00A88FNOW",33
"B00A8MBMKW",33
"B00A8VJBMY",33
"B00AA7V1N8",33
"B00AE0FYP2",33
"B00AHVIY64",33
"B00ANLNU44",33
"B00AOVXOQW",33
"B00AW6YB9S",33
"B00AYDA5MG",33
"B00B1D7CRE",33
"B00B7QGRA8",33
"B00BFIWNBA",33
"B00BJSWATQ",33
"B00BJT861Q",33
"B00BMD6SVY",33
"B00BQYR0J8",33
"B00BRI3L6Y",33
"B00BSWRE2G",33
"B00BV2V8A2",33
"B00BYD5LVA",33
"B00C6PSSLU",33
"B00C6PVN6C",33
"B00C6PVXTY",33
"B00CANHVUC",33
"B00CE04GVS",33
"B00CG5WX5W",33
"B00CHWZ47S",33
"B00CKO4C4O",33
"B00CKYEFVY",33
"B00CN3U8TA",33
"B00CNBGUJ4",33
"B00CPNKPG4",33
"B00CWXG7HS",33
"B00CZBHQ5E",33
"B00D2SB2RW",33
"B00DEAH7HW",33
"B00DH8D0HC",33
"B00DJQZMTG",33
"B00E0NNV8G",33
"B00E1B983E",33
"B00ERARMBY",33
"B00EY26XYM",33
"B00F3JCXJ4",33
"B00F4PKZW4",33
"B00FAQVVWA",33
"B00FBW8ZIQ",33
"B00FIOC7U4",33
"B00FLKKCBQ",33
"B00FN6OTDK",33
"B00FQAI4F2",33
"B00FS137WO",33
"B00G3THIXO",33
"B00GCHFTTW",33
"B00GDMLBNE",33
"B00GEEVM9E",33
"B00GW3KLB2",33
"B00H59EMD0",33
"B00ICZZXCK",33
"B00ILXPINC",33
"0615638996",32
"0911121056",32
"1589781244",32
"161661336X",32
"1878875922",32
"9269807096",32
"B00000IVZX",32
"B00000IWCW",32
"B00000IWHI",32
"B00003CYPS",32
"B00004R8LW",32
"B00004T2XP",32
"B00004TFZJ",32
"B00004UBGU",32
"B00004WKT8",32
"B00004YUWT",32
"B00005BRIQ",32
"B00005LZNH",32
"B000062SPW",32
"B0000669F7",32
"B00006BMQK",32
"B00007GCYJ",32
"B00007GCYM",32
"B00007L12V",32
"B00008GYCL",32
"B00008QJ0X",32
"B0000936KZ",32
"B000096RH8",32
"B00009KWUU",32
"B00009KWZ4",32
"B0000A11ZI",32
"B0000B0EX3",32
"B0000C0ULO",32
"B0000WPADK",32
"B00021UJ3K",32
"B00024GSBY",32
"B0002717EO",32
"B0002EH3IQ",32
"B0002H4W1E",32
"B0002OH0YS",32
"B0002Q0O4E",32
"B0002TV2O2",32
"B0002U1RQY",32
"B0006216PA",32
"B0006FUGE4",32
"B0006FUGFI",32
"B0006GVA0C",32
"B0006N6OGU",32
"B0006NAMUO",32
"B0006NMA4A",32
"B0006O9K5Q",32
"B0006PK1EE",32
"B0006ZM8K4",32
"B00073IBCY",32
"B00078ANHU",32
"B0007Q1J7A",32
"B0007UPXMI",32
"B00080VMMW",32
"B0008FUBM4",32
"B0008JIM3U",32
"B000932CRM",32
"B00099EBFW",32
"B0009P5GUA",32
"B0009RGXPK",32
"B0009SQEXU",32
"B0009Z3IPK",32
"B000A42YLY",32
"B000A5B6HG",32
"B000A7W45W",32
"B000AD29VA",32
"B000AUVE5U",32
"B000B511L6",32
"B000BMYWYC",32
"B000BNC9P0",32
"B000BPN3IU",32
"B000BR67JA",32
"B000BY5ZBY",32
"B000C24PTI",32
"B000C295E8",32
"B000CIU6XQ",32
"B000CQ5EY4",32
"B000EH5A68",32
"B000EHW35E",32
"B000EMRVOW",32
"B000ETQR68",32
"B000EYF72S",32
"B000F5SF52",32
"B000F5YYDE",32
"B000F6RWT6",32
"B000F8XC8E",32
"B000FL1LXY",32
"B000GHYTOU",32
"B000GYWYFE",32
"B000H8WG70",32
"B000IK9HP6",32
"B000ITSYPQ",32
"B000J41CLS",32
"B000JLDJBW",32
"B000JSNYU6",32
"B000K226U0",32
"B000KBCCSM",32
"B000KL8UVK",32
"B000N2K2RQ",32
"B000N6OX9K",32
"B000NPUJ6W",32
"B000NSW0LQ",32
"B000NW5RTY",32
"B000NWZZ0K",32
"B000O1NIGI",32
"B000ON50GM",32
"B000OQTEX4",32
"B000P1AQU8",32
"B000P1TKAK",32
"B000PVV2YC",32
"B000PWVCPA",32
"B000R366CQ",32
"B000RHFVY6",32
"B000RZN38Y",32
"B000SQKDSA",32
"B000SZN2CU",32
"B000TATC6Y",32
"B000TKALWS",32
"B000TR6OXQ",32
"B000UWGTO4",32
"B000VRIH1G",32
"B000VT8IQI",32
"B000VX2PO0",32
"B000WE79MQ",32
"B000WFW3UI",32
"B000WHMA8G",32
"B000XQ8OHW",32
"B000XVG8XY",32
"B000Z44LXI",32
"B000ZH690S",32
"B0012512W2",32
"B0012VP6CS",32
"B001390CL4",32
"B0013EIY4Q",32
"B0013FHIA6",32
"B0015FRC32",32
"B0015GMFLK",32
"B0015KAMS4",32
"B0015NFP92",32
"B001602IOO",32
"B00160LHJG",32
"B0016A57DS",32
"B0016JC2JG",32
"B0016LVJ70",32
"B00170EPXU",32
"B00194TAD4",32
"B0019CUI96",32
"B0019I3A54",32
"B0019O4TPI",32
"B001AHFP52",32
"B001AITZXY",32
"B001CBUJXO",32
"B001FWCO7O",32
"B001GN6XI8",32
"B001GWTD22",32
"B001HBXULC",32
"B001HNZN92",32
"B001JPDC1Y",32
"B001JT6QA4",32
"B001LFCIKS",32
"B001MKVLXC",32
"B001O5OH8Q",32
"B001OMH3X0",32
"B001Q1U58E",32
"B001Q3XE4O",32
"B001T8YCPQ",32
"B001THZ2HE",32
"B001U3ZGZK",32
"B001U3ZMH2",32
"B001U6DIX4",32
"B001UAF5ZO",32
"B001UESI7M",32
"B001VA1RZU",32
"B001XUKGL4",32
"B001Y30IHC",32
"B001Y66JU4",32
"B001Z0QY04",32
"B0027CTC5S",32
"B0027UWG8A",32
"B00283XBGW",32
"B00284C4RS",32
"B002AMVYQ0",32
"B002BJRP2Y",32
"B002DXQHUY",32
"B002ECUUZM",32
"B002EDNZD0",32
"B002ESOY0I",32
"B002EX5YRU",32
"B002G8G4AY",32
"B002GWW2ME",32
"B002KW3OQI",32
"B002KYOI4S",32
"B002MCZ5TU",32
"B002NE792I",32
"B002NSPTVM",32
"B002OOLQ80",32
"B002OU02TI",32
"B002PIAUYG",32
"B002RBRCQ0",32
"B002RDYZYA",32
"B002SBYGOK",32
"B002TZXP4C",32
"B002X7UZSU",32
"B002Z0EEF0",32
"B002ZW365W",32
"B002ZZRO34",32
"B0030G9DOU",32
"B00322ZZOE",32
"B0032A97CW",32
"B0032BD9RK",32
"B0032UP5R8",32
"B0032ZD5T8",32
"B00332WHM6",32
"B0033J95K6",32
"B0035EQDT0",32
"B00362RX5E",32
"B0037LJ0YG",32
"B0037UV02W",32
"B00385L0BM",32
"B00388GPNC",32
"B0038APDC4",32
"B0038B8IDO",32
"B003ASOUBY",32
"B003AVNKXA",32
"B003BNZIN2",32
"B003BWVJ72",32
"B003CPNNU4",32
"B003D0EM62",32
"B003DRK8T0",32
"B003DZ35HE",32
"B003ET17JC",32
"B003F7YNGW",32
"B003FPODGO",32
"B003FQCZ9A",32
"B003FYGH7S",32
"B003H92AZY",32
"B003HS5JU8",32
"B003I6TQBW",32
"B003JD1I74",32
"B003L08H2E",32
"B003L2WNTA",32
"B003L5CXW4",32
"B003LQVTUK",32
"B003M4GS6G",32
"B003M74S1K",32
"B003MZ1M4I",32
"B003N9UE9M",32
"B003NSBMU8",32
"B003R3A5PM",32
"B003S3RGJ4",32
"B003SRGOXY",32
"B003SU94PQ",32
"B003T9VHH4",32
"B003U2SAZM",32
"B003UK8SCE",32
"B003UKZ8KE",32
"B003UO4UBI",32
"B003X3VGM2",32
"B003Y2U1AU",32
"B003Y5MKMO",32
"B003YA33Q6",32
"B003ZG6NFC",32
"B0040F233S",32
"B0040H2LWE",32
"B0041VF6RG",32
"B00420F374",32
"B0042ES4SU",32
"B0042ESFU2",32
"B0042ESH7I",32
"B0042UJSPC",32
"B0042VIHMQ",32
"B0043AGA4S",32
"B0043BYK76",32
"B004478GO2",32
"B0044AHEX8",32
"B00454HH4Y",32
"B0045H17GA",32
"B004B56DGA",32
"B004BQ9TQK",32
"B004C03S12",32
"B004DGW7B2",32
"B004DTLX7S",32
"B004EFA6W4",32
"B004FEMZQE",32
"B004FLK5SC",32
"B004GPJM90",32
"B004GT9OW6",32
"B004GUSXPE",32
"B004HE1BPS",32
"B004I694KO",32
"B004JK94F4",32
"B004JQN4WM",32
"B004LU5ZT6",32
"B004N56XKY",32
"B004NRN5G2",32
"B004P4MADW",32
"B004P8J0YU",32
"B004P971KE",32
"B004P98O6Y",32
"B004P9WPGY",32
"B004PWNHRW",32
"B004Q53L42",32
"B004QIYL7A",32
"B004R7RBAY",32
"B004S53HVM",32
"B004TLID6O",32
"B004UBJ7KE",32
"B004UL51OK",32
"B004UUKN4E",32
"B004W34ZOS",32
"B004XPIPSC",32
"B004XPIPT6",32
"B004XPIQJ0",32
"B0050QJTRY",32
"B0052VCI5C",32
"B0053K1TT8",32
"B0057JI2RC",32
"B005ANEPPI",32
"B005CHDHKG",32
"B005DNWYNA",32
"B005EN1SFE",32
"B005GLTVXA",32
"B005H0TB7Q",32
"B005HN4HRM",32
"B005HYLV7K",32
"B005LRYINW",32
"B005NB0JNE",32
"B005OQYOB6",32
"B005PO316G",32
"B005RB7WGM",32
"B005STDPXM",32
"B005SWR9MW",32
"B005UZR26A",32
"B005VC3ESM",32
"B005VLG2J6",32
"B005VPRCPK",32
"B005VPRD2W",32
"B005XTLAL6",32
"B0060S30PI",32
"B0061MIIYQ",32
"B0061QQRP4",32
"B0063UKTXE",32
"B0063VMEJ0",32
"B0069DDGPS",32
"B006CD0U2W",32
"B006CPXBDA",32
"B006G682UW",32
"B006LEZ9EQ",32
"B006O6EO92",32
"B006PRDY6O",32
"B006S9LN7G",32
"B006WZM44W",32
"B006X2AF0E",32
"B006X9KTQC",32
"B0071BFM36",32
"B0073Y19BK",32
"B0074NM4SM",32
"B0075ILWG6",32
"B0075ZBF5W",32
"B00770KPTW",32
"B00797SCOI",32
"B007BEJQG2",32
"B007CMEV72",32
"B007CMEVU4",32
"B007G5ZSTK",32
"B007RE0RR8",32
"B007VN9I4S",32
"B007VZWBX6",32
"B007WK8RYC",32
"B007WW43PM",32
"B007XJE0DO",32
"B00821KR8Y",32
"B0083F31JG",32
"B00846FHQE",32
"B00857SRIW",32
"B0085HLG9E",32
"B0086URM5M",32
"B00873C31G",32
"B0088AICIG",32
"B008914XZA",32
"B008DE2A94",32
"B008E18SDI",32
"B008E6G15U",32
"B008GOC3RA",32
"B008HEC3HY",32
"B008JGPSNQ",32
"B008LG1GDK",32
"B008MEK3XU",32
"B008NRXIXS",32
"B008OTJ4C4",32
"B008PQ2CBG",32
"B008PX1Y0Y",32
"B008QNF24W",32
"B008RO7P04",32
"B008TN6B7Q",32
